CNPJ,preco,cliente,UF,cidade,bairro
23615208000110,1125.48,ASA BLUE MINI MERCADO E MERCEARIA EIRELI,RJ,ARARUAMA,PARATY
1235391000196,1147.6200000000001,O LUIZ DE SOUZA,RJ,MACAE,NOVA HOLANDA
27024494000109,1167.73,G DE S INDUSTRIA DE MASSAS LTDA - ME,RJ,CAMPOS DOS GOYTACAZES,CENTRO
8962090000103,1170.9900000000002,R C COMERCIO DE LATICINIOS E FRIOS PARA TRAILERS LTDA - ME,RJ,SAO GONCALO,SACRAMENTO
9379562000162,1188.3400000000001,COMERCIAL KINAO LTDA - EPP.,ES,ARACRUZ,GUARANA
12465011000126,1201.2800000000002,CGM ALIMENTOS LTDA EPP,RJ,CAMPOS DOS GOYTACAZES,PARQUE AURORA
24616223000146,1215.48,SUPERMERCADO VENETTO EIRELI,ES,VIANA,MARCILIO DE NORONHA
20852670000143,1216.8700000000003,PORTINARI MINI MERCADO CIDADE PRAIANA LTDA - ME,RJ,RIO DAS OSTRAS,JARDIM MIRAMAR
26908846000118,1220.49,BARONESA PESCADOS LTDA,RJ,RIO DE JANEIRO,PRACA SECA
3647632000130,1232.4500000000003,PRIME SUPERMERCADO EIRELI - ME,RJ,RIO DE JANEIRO,CAMPO GRANDE
7464058000135,1271.17,SUPERMERCADO SILVA LTDA.,MG,RESPLENDOR,N. SRA. DE FATIMA
7142743000145,1271.9199999999996,LATICINIOS ALVES GOMES LTDA ME,RJ,GUAPIMIRIM,BARREIRA
21408990000171,1272.8499999999997,CJP DAMAZIO HIPERMERCADO ME,RJ,SAPUCAIA,JAMAPARA
7309839000155,1278.76,ROBSON PINTO MARTINS,RJ,SAO FRANCISCO DE ITABAPOANA,CENTRO
25053220000104,1288.8000000000002,E H DA CUNHA MINIMERCADOS EIRELI ME,RJ,ARARUAMA,JAPAO
24478068000149,1303.84,ACOUGUE E MERCEARIA BIFAO 2016 EIRELI,RJ,DUQUE DE CAXIAS,CAMPOS ELISEOS
29080946000197,1314.26,MERCADO ADONAI DE INHOAIBA LTDA,RJ,RIO DE JANEIRO,INHOAIBA
29081029000127,1314.26,MERCADO ADONAI DO KM 32 LTDA,RJ,NOVA IGUACU,KM 32
10578244000100,1320.9699999999998,GP INDUSTRIA  SERVICOS E COMERCIO DE ALIMENTOS LTDA.,RJ,SAO GONCALO,ALCANTARA
22965384000110,1329.7800000000002,T. P. MANSUR MERCEARIA - ME,RJ,NOVA IGUACU,CABUCU
74126707000185,1344.1,BAR E MERCEARIA MAFAUT'S DE MESQUITA LTDA,RJ,MESQUITA,CENTRO
31759699000444,1350.46,COMERCIAL DEVENS LTDA,ES,ARACRUZ,COQUEIRAL
15637836000179,1352.85,DISTRIBUIDORA COMERCIAL CEAG LTDA - EPP,RJ,NITEROI,BARRETO
25062554000144,1368.9499999999994,N S MERCADO CARIOCA LTDA - ME,RJ,RIO DAS OSTRAS,JARDIM MIRAMAR
10335385000100,1384.9499999999998,R S ADOLPHO MERCADO E ACOUGUE,RJ,CABO FRIO,CELULA MATER
4715430000140,1385.4700000000003,ACOUGUE IGUACU DO MARCO DOIS LTDA ME,RJ,NOVA IGUACU,MARCO
27957499000186,1417.6799999999996,SUPER ALIANCA MINIMERCADO LTDA - EPP,RJ,SILVA JARDIM,CAJU
1254351000272,1423.1699999999998,R C COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS LTDA - EPP,RJ,SAO JOAO DE MERITI,CENTRO
23507360000180,1436.4999999999998,MJ COMERCIO VAREJISTA ALIMENTOS LTDA - ME,RJ,NOVA IGUACU,CAMPO ALEGRE
27854094000112,1450.62,MERCADO PRAIANO LTDA - ME,RJ,SAQUAREMA,BASILEA (SAMPAIO CORREIA)
8353768000150,1464.67,MERCADO PARAISO DE XEREM LTDA,RJ,DUQUE DE CAXIAS,PARQUE XEREM
22548712000182,1467.8099999999995,JR DE SOUZA SOUTO MINIMERCADO - ME,RJ,SAO GONCALO,SAO MIGUEL
1190829000248,1480.2899999999997,SUPERMERCADO CALIL DE CONCEICAO DE MACABU LTDA,RJ,CONCEICAO DE MACABU,VILA SAO JOSE
