cod,descricao
060011,FITA QUALITAPE  TRANSP 48X40  ADELBRAS
060012,PANO DE CHAO
060013,DESINFETANTE 5 LT
060014,CLORO/ALVEJANTE  5 LT
060015,SABONETE 5 LT  ERVA DOCE
060016,ET ADES 48X50 CR
060017,TONER  COMPATIVEL HP  CF283A
060018,SELO 75 MM AL +  PE -NL CASCA
060019,CIMENTCOLA  QUARTZOLIT  PORC.INTERNO  BRANCO 20KG
060020,AGUARRAS TEMPO  900ML
060021,1 - GRELHA 10X10  QUADRADA C/  PRESSAO MEBER -  266820
060022,MIXER/TRITURADO MP450 ULTRA EP  220/60/1
060023,PNEU 175/70R14  84T YH11 JINYU
060024,VALVULA TR418
060025,4 - MOSAICO  30.5X30.5 PADUA  TRAVERTINO  INCEPA -  74650000A
060027,4 - REV.46X67  TRAMA NUDE. 1L  ITAGRES -
060028,7 - REV.32X60  RET.TRADICIONAL BEIGE  BIANCOGRES -  BR0111B1
060029,1 - ARGAMASSA  P/PAST.BRANCO  (VIDRO/NGK) 5 KG  CERAMFIX - 603313
060030,3 - PISO 60X60  PORC.RET.RIVIERA CLAIRE MATE  ROCA - 450560041
060031,11 - PISO 72X72  PORC.RET.CLASSIC WHITE BR VIA  ROSA * - BR72000
060032,3 -  REJUNT.ACRIL.PAL 1KG CERAMFIX -  603533
060033,4 -  REJUNT.ACRIL.BRA 1KG CERAMFIX -  603534
060034,21 - PISO 54X54  PORC.RET.PARTEN MATE RUSTICO  DELTA 2L -  PARTENON
060035,1 - VIVACE BACIA  C/CX.BOTAFOGO  LT-1012A  C/ASSENTO - LT- 1012A
060036,1 - CUBA N.0 ACO  RETANGULAR  34X40 3 1/2  S/ESCAPE  TRAMONTINA -  94020/207
060037,1 - CUBA N.2 ACO  RETANGULAR  34X56 4 1/2  C/ESCAPE  TRAMONTINA -  94024/203
060038,33 - PISO 80X80  PORC.RET.POLIDO  MARFIM BELLA  DOMUS F -  MARFIM-80-POL
060039,20 - PISO 80X80  PORC.RET.POLIDO  AVORIO BELLA  DOMUS F** -
060041,ETIQ. ROT.  MAIONESE  TEMPERADA
060046,ETIQ. ROT.  MOLHO SUPRA  JACK
060048,ETIQ. ROT.  MAIONESE  DEFUMADA
060049,ETIQ. ROT.  CHIMICHURRI
060050,2 - REV.32X60  RET.BIANCO LUX  VIVACE - BR0434L1
060051,MOLHA DEDO  ESPONJA  CARBRINK
060052,QUADRO CORT  MADEIRA 45X60  CITYQUADROS
060053,CLIPS 4/0 CX 50  GALV 0808-4  BACCHI
060054,CABO DE FORCA  TDA PP PT  3X055MM 1.2M
060055,TEXTURA RUSTICA  RIO BRANCA 28KG
060056,11 - PISO 60X60  PORC.RET.CRISTAL BIANCO  BIANCOGRES -  BP0426B1
060057,2 - PISO 16X100  PORC.RET.EBANO  RUSTICO ITAGRES  - 20045A
060058,FAIXA CEUSA 8421  BLOC CANELA RET  A T02 43X63CM
060059,PISO CASTELLI PN  RET P70705  (1.49)L10 T69  20X120CM
060060,PISO SMALT.PN  RET 62008  (1.93)L33 T69  62X62CM
